Domain Length	Pressure	Density	Velocity	Temperature	Sound Speed
0	0.4	1.4	0	0.00099552	0.632456
0.01	0.4	1.39988	6.372e-17	0.000995606	0.632483
0.02	0.4	1.39952	1.9099e-16	0.000995858	0.632563
0.03	0.4	1.39904	9.54141e-17	0.000996204	0.632673
0.04	0.4	1.39854	1.59244e-16	0.000996563	0.632787
0.05	0.4	1.398	1.27405e-16	0.000996943	0.632907
0.06	0.4	1.39743	1.27448e-16	0.000997351	0.633037
0.07	0.4	1.39681	1.59445e-16	0.000997795	0.633178
0.08	0.4	1.39613	1.27602e-16	0.000998282	0.633332
0.09	0.4	1.39538	1.27676e-16	0.000998819	0.633503
0.1	0.4	1.39454	9.57711e-17	0.000999416	0.633692
0.11	0.4	1.39362	9.58647e-17	0.00100008	0.633902
0.12	0.4	1.39259	1.27974e-16	0.00100082	0.634137
0.13	0.4	1.39144	3.19108e-17	0.00100165	0.634398
0.14	0.4	1.39016	3.19474e-17	0.00100257	0.63469
0.15	0.4	1.38874	3.20154e-17	0.00100359	0.635014
0.16	0.4	1.38717	9.63271e-17	0.00100473	0.635374
0.17	0.4	1.38543	3.20794e-17	0.00100599	0.635773
0.18	0.4	1.3835	9.66245e-17	0.00100739	0.636215
0.19	0.4	1.38139	9.67534e-17	0.00100894	0.636703
0.2	0.4	1.37906	9.69115e-17	0.00101064	0.637239
0.21	0.4	1.37651	-3.25074e-17	0.00101251	0.637828
0.22	0.4	1.37374	9.7295e-17	0.00101455	0.638473
0.23	0.4	1.37071	6.49782e-17	0.00101679	0.639176
0.24	0.4	1.36744	6.51506e-17	0.00101923	0.639942
0.25	0.4	1.36389	6.53255e-17	0.00102188	0.640772
0.26	0.4	1.36008	6.54898e-17	0.00102474	0.641671
0.27	0.4	1.35598	9.85916e-17	0.00102784	0.64264
0.28	0.4	1.35159	3.29253e-17	0.00103118	0.643683
0.29	0.4	1.34691	1.32388e-16	0.00103476	0.644801
0.3	0.4	1.34193	3.3194e-17	0.0010386	0.645996
0.31	0.4	1.33665	1.0006e-16	0.0010427	0.64727
0.32	0.4	1.33108	3.3465e-17	0.00104707	0.648623
0.33	0.4	1.32521	-3.17797e-20	0.00105171	0.650058
0.34	0.4	1.31905	-3.27191e-20	0.00105662	0.651573
0.35	0.4	1.31261	-1.88917e-20	0.0010618	0.65317
0.36	0.4	1.30589	3.41342e-17	0.00106726	0.654847
0.37	0.4	1.29892	3.43242e-17	0.00107299	0.656603
0.38	0.4	1.29169	6.90496e-17	0.00107899	0.658438
0.39	0.4	1.28423	3.47271e-17	0.00108526	0.660347
0.4	0.4	1.27655	6.98873e-17	0.00109179	0.66233
0.41	0.4	1.26868	1.58585e-20	0.00109857	0.664382
0.42	0.4	1.26063	3.5407e-17	0.00110558	0.666501
0.43	0.4	1.25242	7.12406e-17	0.00111283	0.668681
0.44	0.4	1.24408	7.17172e-17	0.00112029	0.670918
0.45	0.4	1.23563	-7.21634e-17	0.00112795	0.673208
0.46	0.4	1.2271	-1.09001e-16	0.00113579	0.675544
0.47	0.4	1.21851	-7.31644e-17	0.0011438	0.677921
0.48	0.4	1.20989	3.69097e-17	0.00115195	0.680332
0.49	0.4	1.20126	3.71752e-17	0.00116022	0.682771
