Domain Length	Pressure	Density	Velocity	Temperature	Sound Speed
0	0.178571	1	1	0.0006222	0.5
0.01	0.178571	1	1	0.0006222	0.5
0.02	0.178571	1	1	0.0006222	0.5
0.03	0.178571	1	1	0.0006222	0.5
0.04	0.178571	1	1	0.0006222	0.5
0.05	0.178571	1	1	0.0006222	0.5
0.06	0.178571	1	1	0.0006222	0.5
0.07	0.178571	1	1	0.0006222	0.5
0.08	0.178571	1	1	0.0006222	0.5
0.09	0.178571	1	1	0.0006222	0.5
0.1	0.178571	1	1	0.0006222	0.5
0.11	0.178571	1	1	0.0006222	0.5
0.12	0.178571	1	1	0.0006222	0.5
0.13	0.178571	1	1	0.0006222	0.5
0.14	0.178571	1	1	0.0006222	0.5
0.15	0.178571	1	1	0.0006222	0.5
0.16	0.178571	1	1	0.0006222	0.5
0.17	0.178571	1	1	0.0006222	0.5
0.18	0.178571	1	1	0.0006222	0.5
0.19	0.178571	1	1	0.0006222	0.5
0.2	0.178571	1	1	0.0006222	0.5
0.21	0.178571	1	1	0.0006222	0.5
0.22	0.178571	1	1	0.0006222	0.5
0.23	0.178571	1	1	0.0006222	0.5
0.24	0.178571	1	1	0.0006222	0.5
0.25	0.178571	1	1	0.0006222	0.5
0.26	0.178571	1	1	0.0006222	0.5
0.27	0.178571	1	1	0.0006222	0.5
0.28	0.178571	1	1	0.0006222	0.5
0.29	0.178571	1	1	0.0006222	0.5
0.3	0.178571	1	1	0.0006222	0.5
0.31	0.178571	1	1	0.0006222	0.5
0.32	0.178571	1	1	0.0006222	0.5
0.33	0.178571	1	1	0.0006222	0.5
0.34	0.178571	1	1	0.0006222	0.5
0.35	0.178571	1	1	0.0006222	0.5
0.36	0.178571	1	1	0.0006222	0.5
0.37	0.178571	1	1	0.0006222	0.5
0.38	0.178571	1	1	0.0006222	0.5
0.39	0.178571	1	1	0.0006222	0.5
0.4	0.178571	1	1	0.0006222	0.5
0.41	0.178571	1	1	0.0006222	0.5
0.42	0.178571	1	1	0.0006222	0.5
0.43	0.178571	1	1	0.0006222	0.5
0.44	0.178571	1	1	0.0006222	0.5
0.45	0.178571	1	1	0.0006222	0.5
0.46	0.178571	1	1	0.0006222	0.5
0.47	0.178571	1	1	0.0006222	0.5
0.48	0.178571	1	1	0.0006222	0.5
0.49	0.402157	1.65135	0.681821	0.000848541	0.583904
0.5	0.684897	2.37983	0.448345	0.00100276	0.634752
0.51	0.791699	2.63847	0.381899	0.00104551	0.648139
0.52	0.803434	2.66634	0.375079	0.00104991	0.649503
0.53	0.803571	2.66667	0.375	0.00104996	0.649519
0.54	0.803571	2.66667	0.375	0.00104996	0.649519
0.55	0.803571	2.66667	0.375	0.00104996	0.649519
0.56	0.803571	2.66667	0.375	0.00104996	0.649519
0.57	0.803571	2.66667	0.375	0.00104996	0.649519
0.58	0.803571	2.66667	0.375	0.00104996	0.649519
0.59	0.803571	2.66667	0.375	0.00104996	0.649519
0.6	0.803571	2.66667	0.375	0.00104996	0.649519
0.61	0.803571	2.66667	0.375	0.00104996	0.649519
0.62	0.803571	2.66667	0.375	0.00104996	0.649519
0.63	0.803571	2.66667	0.375	0.00104996	0.649519
0.64	0.803571	2.66667	0.375	0.00104996	0.649519
0.65	0.803571	2.66667	0.375	0.00104996	0.649519
0.66	0.803571	2.66667	0.375	0.00104996	0.649519
0.67	0.803571	2.66667	0.375	0.00104996	0.649519
0.68	0.803571	2.66667	0.375	0.00104996	0.649519
0.69	0.803571	2.66667	0.375	0.00104996	0.649519
0.7	0.803571	2.66667	0.375	0.00104996	0.649519
0.71	0.803571	2.66667	0.375	0.00104996	0.649519
0.72	0.803571	2.66667	0.375	0.00104996	0.649519
0.73	0.803571	2.66667	0.375	0.00104996	0.649519
0.74	0.803571	2.66667	0.375	0.00104996	0.649519
0.75	0.803571	2.66667	0.375	0.00104996	0.649519
0.76	0.803571	2.66667	0.375	0.00104996	0.649519
0.77	0.803571	2.66667	0.375	0.00104996	0.649519
0.78	0.803571	2.66667	0.375	0.00104996	0.649519
0.79	0.803571	2.66667	0.375	0.00104996	0.649519
0.8	0.803571	2.66667	0.375	0.00104996	0.649519
0.81	0.803571	2.66667	0.375	0.00104996	0.649519
0.82	0.803571	2.66667	0.375	0.00104996	0.649519
0.83	0.803571	2.66667	0.375	0.00104996	0.649519
0.84	0.803571	2.66667	0.375	0.00104996	0.649519
0.85	0.803571	2.66667	0.375	0.00104996	0.649519
0.86	0.803571	2.66667	0.375	0.00104996	0.649519
0.87	0.803571	2.66667	0.375	0.00104996	0.649519
0.88	0.803571	2.66667	0.375	0.00104996	0.649519
0.89	0.803571	2.66667	0.375	0.00104996	0.649519
0.9	0.803571	2.66667	0.375	0.00104996	0.649519
0.91	0.803571	2.66667	0.375	0.00104996	0.649519
0.92	0.803571	2.66667	0.375	0.00104996	0.649519
0.93	0.803571	2.66667	0.375	0.00104996	0.649519
0.94	0.803571	2.66667	0.375	0.00104996	0.649519
0.95	0.803571	2.66667	0.375	0.00104996	0.649519
0.96	0.803571	2.66667	0.375	0.00104996	0.649519
0.97	0.803571	2.66667	0.375	0.00104996	0.649519
0.98	0.803571	2.66667	0.375	0.00104996	0.649519
