Domain Length	Pressure	Density	Velocity	Temperature	Sound Speed
0	0.4	1.4	0	0.00099552	0.632456
0.01	0.399999	1.39999	2.43723e-06	0.000995522	0.632456
0.02	0.399988	1.3999	1.13697e-05	0.000995561	0.632468
0.03	0.399987	1.39983	1.25842e-05	0.000995609	0.632484
0.04	0.399987	1.39976	1.36423e-05	0.000995662	0.632501
0.05	0.399987	1.39967	1.49558e-05	0.000995724	0.63252
0.06	0.399987	1.39956	1.65689e-05	0.000995797	0.632543
0.07	0.399987	1.39944	1.8519e-05	0.000995885	0.632571
0.08	0.399986	1.39929	2.08509e-05	0.000995991	0.632605
0.09	0.399986	1.39911	2.36175e-05	0.00099612	0.632646
0.1	0.399986	1.39889	2.68799e-05	0.000996276	0.632696
0.11	0.399986	1.39862	3.07074e-05	0.000996467	0.632756
0.12	0.399986	1.3983	3.51772e-05	0.000996697	0.632829
0.13	0.399986	1.39791	4.03743e-05	0.000996975	0.632917
0.14	0.399986	1.39744	4.63907e-05	0.000997308	0.633023
0.15	0.399986	1.39688	5.33249e-05	0.000997707	0.63315
0.16	0.399986	1.39622	6.12805e-05	0.000998182	0.6333
0.17	0.399986	1.39543	7.03654e-05	0.000998743	0.633479
0.18	0.399986	1.39451	8.06894e-05	0.000999405	0.633688
0.19	0.399986	1.39343	9.23631e-05	0.00100018	0.633935
0.2	0.399986	1.39216	0.000105495	0.00100109	0.634222
0.21	0.399986	1.3907	0.000120188	0.00100214	0.634555
0.22	0.399986	1.38902	0.000136541	0.00100336	0.63494
0.23	0.399986	1.38708	0.000154637	0.00100476	0.635383
0.24	0.399987	1.38488	0.00017455	0.00100636	0.635889
0.25	0.399987	1.38237	0.000196334	0.00100818	0.636466
0.26	0.399987	1.37954	0.000220024	0.00101025	0.637119
0.27	0.399987	1.37635	0.00024563	0.00101259	0.637855
0.28	0.399987	1.3728	0.000273135	0.00101521	0.638681
0.29	0.399987	1.36884	0.000302494	0.00101815	0.639603
0.3	0.399987	1.36447	0.000333627	0.00102141	0.640627
0.31	0.399987	1.35966	0.000366422	0.00102503	0.64176
0.32	0.399987	1.35439	0.00040073	0.00102901	0.643006
0.33	0.399987	1.34866	0.000436368	0.00103339	0.644372
0.34	0.399986	1.34245	0.000473114	0.00103816	0.64586
0.35	0.399986	1.33576	0.000510716	0.00104336	0.647474
0.36	0.399986	1.3286	0.000548884	0.00104899	0.649217
0.37	0.399985	1.32096	0.000587303	0.00105505	0.65109
0.38	0.399984	1.31287	0.000625629	0.00106155	0.653093
0.39	0.399983	1.30433	0.000663497	0.00106849	0.655225
0.4	0.399982	1.29538	0.000700526	0.00107587	0.657485
0.41	0.399981	1.28604	0.000736326	0.00108369	0.659867
0.42	0.39998	1.27634	0.000770503	0.00109192	0.662369
0.43	0.399978	1.26632	0.000802667	0.00110055	0.664982
0.44	0.399977	1.25603	0.00083244	0.00110956	0.667699
0.45	0.399975	1.24551	0.00085946	0.00111893	0.670513
0.46	0.399974	1.23481	0.000883393	0.00112863	0.673411
0.47	0.399972	1.22397	0.00090394	0.00113861	0.676384
0.48	0.39997	1.21306	0.000920837	0.00114885	0.679418
0.49	0.399968	1.20212	0.00093387	0.0011593	0.682501
0.5	0.399966	1.1912	0.000942871	0.00116992	0.68562
0.51	0.399964	1.18036	0.00094773	0.00118066	0.688759
0.52	0.399963	1.16965	0.000948392	0.00119147	0.691905
0.53	0.399961	1.1591	0.00094486	0.0012023	0.695043
0.54	0.399959	1.14878	0.000937197	0.0012131	0.698158
0.55	0.399957	1.13871	0.000925521	0.00122382	0.701236
0.56	0.399955	1.12893	0.000910007	0.00123442	0.704264
0.57	0.399954	1.11948	0.000890878	0.00124483	0.707229
0.58	0.399952	1.11039	0.000868404	0.00125502	0.710119
0.59	0.399951	1.10167	0.000842896	0.00126495	0.712922
0.6	0.39995	1.09335	0.000814694	0.00127458	0.715629
0.61	0.399948	1.08544	0.000784168	0.00128386	0.718231
0.62	0.399947	1.07795	0.000751701	0.00129278	0.72072
0.63	0.399946	1.07089	0.00071769	0.0013013	0.723091
0.64	0.399945	1.06426	0.000682531	0.0013094	0.725338
0.65	0.399945	1.05806	0.000646615	0.00131707	0.727459
0.66	0.399944	1.05229	0.000610322	0.00132429	0.729451
0.67	0.399943	1.04693	0.000574012	0.00133106	0.731314
0.68	0.399943	1.04198	0.000538021	0.00133738	0.733049
0.69	0.399942	1.03743	0.000502659	0.00134325	0.734655
0.7	0.399942	1.03325	0.000468201	0.00134868	0.736138
0.71	0.399942	1.02944	0.000434889	0.00135367	0.737499
0.72	0.399941	1.02598	0.00040293	0.00135824	0.738743
0.73	0.399941	1.02284	0.000372492	0.00136241	0.739876
0.74	0.399941	1.02	0.000343711	0.00136619	0.740902
0.75	0.39994	1.01746	0.000316684	0.00136961	0.741828
0.76	0.39994	1.01518	0.000291477	0.00137268	0.742659
0.77	0.39994	1.01315	0.000268127	0.00137543	0.743402
0.78	0.399939	1.01135	0.000246638	0.00137788	0.744064
0.79	0.399939	1.00976	0.000226995	0.00138005	0.74465
0.8	0.399939	1.00836	0.000209156	0.00138197	0.745167
0.81	0.399938	1.00713	0.000193064	0.00138365	0.745622
0.82	0.399938	1.00605	0.000178645	0.00138513	0.746019
0.83	0.399938	1.00512	0.000165813	0.00138641	0.746365
0.84	0.399937	1.00431	0.000154473	0.00138753	0.746665
0.85	0.399937	1.00361	0.000144524	0.00138849	0.746923
0.86	0.399936	1.00302	0.000135859	0.00138931	0.747145
0.87	0.399935	1.00251	0.00012837	0.00139002	0.747335
0.88	0.399935	1.00207	0.000121949	0.00139062	0.747496
0.89	0.399934	1.00171	0.000116488	0.00139112	0.747632
0.9	0.399933	1.0014	0.000111883	0.00139155	0.747746
0.91	0.399933	1.00114	0.000108032	0.0013919	0.74784
0.92	0.399932	1.00093	0.000104835	0.00139219	0.747918
0.93	0.399931	1.00076	0.000102197	0.00139242	0.747981
0.94	0.39993	1.00063	0.000100027	0.00139261	0.748031
0.95	0.399929	1.00052	9.82376e-05	0.00139275	0.748069
0.96	0.399928	1.00045	9.67437e-05	0.00139285	0.748097
0.97	0.399927	1.0004	9.54647e-05	0.00139292	0.748115
0.98	0.399926	1.00037	9.43604e-05	0.00139295	0.748124
