Domain Length	Pressure	Density	Velocity	Temperature	Sound Speed
0	0.4	1.4	0	0.00099552	0.632456
0.01	0.4	1.39998	0	0.000995534	0.63246
0.02	0.4	1.39953	0	0.000995856	0.632562
0.03	0.4	1.39905	0	0.000996199	0.632671
0.04	0.4	1.39854	0	0.000996556	0.632784
0.05	0.4	1.39802	0	0.000996934	0.632904
0.06	0.4	1.39745	0	0.000997339	0.633033
0.07	0.4	1.39683	0	0.00099778	0.633173
0.08	0.4	1.39615	0	0.000998264	0.633326
0.09	0.4	1.39541	0	0.000998798	0.633496
0.1	0.4	1.39458	0	0.00099939	0.633684
0.11	0.4	1.39366	0	0.00100005	0.633893
0.12	0.4	1.39263	0	0.00100079	0.634126
0.13	0.4	1.39149	0	0.00100161	0.634386
0.14	0.4	1.39022	0	0.00100252	0.634675
0.15	0.4	1.38881	0	0.00100354	0.634997
0.16	0.4	1.38725	0	0.00100467	0.635355
0.17	0.4	1.38552	0	0.00100593	0.635753
0.18	0.4	1.3836	0	0.00100732	0.636192
0.19	0.4	1.3815	0	0.00100885	0.636677
0.2	0.4	1.37918	0	0.00101055	0.637211
0.21	0.4	1.37665	0	0.00101241	0.637797
0.22	0.4	1.37388	0	0.00101445	0.638439
0.23	0.4	1.37087	0	0.00101668	0.63914
0.24	0.4	1.3676	0	0.0010191	0.639903
0.25	0.4	1.36407	0	0.00102174	0.640731
0.26	0.4	1.36026	0	0.0010246	0.641627
0.27	0.4	1.35617	0	0.00102769	0.642594
0.28	0.4	1.35179	0	0.00103102	0.643634
0.29	0.4	1.34712	0	0.0010346	0.644749
0.3	0.4	1.34215	0	0.00103843	0.645942
0.31	0.4	1.33688	0	0.00104252	0.647214
0.32	0.4	1.33131	0	0.00104689	0.648567
0.33	0.4	1.32544	0	0.00105152	0.65
0.34	0.4	1.31928	0	0.00105643	0.651515
0.35	0.4	1.31284	0	0.00106161	0.653112
0.36	0.4	1.30612	0	0.00106707	0.65479
0.37	0.4	1.29914	0	0.00107281	0.656547
0.38	0.4	1.29191	0	0.00107881	0.658382
0.39	0.4	1.28444	0	0.00108509	0.660294
0.4	0.4	1.27675	0	0.00109162	0.662279
0.41	0.4	1.26886	0	0.00109841	0.664335
0.42	0.4	1.26079	0	0.00110544	0.666457
0.43	0.4	1.25257	0	0.0011127	0.668642
0.44	0.4	1.24421	0	0.00112017	0.670884
0.45	0.4	1.23574	0	0.00112785	0.673179
0.46	0.4	1.22719	0	0.00113571	0.675521
0.47	0.4	1.21857	0	0.00114374	0.677904
0.48	0.4	1.20993	0	0.00115191	0.680321
0.49	0.4	1.20128	0	0.00116021	0.682767
0.5	0.4	1.19264	0	0.0011686	0.685234
0.51	0.4	1.18405	0	0.00117708	0.687715
0.52	0.4	1.17553	0	0.00118562	0.690203
0.53	0.4	1.1671	0	0.00119418	0.692692
0.54	0.4	1.15879	0	0.00120275	0.695172
0.55	0.4	1.15061	0	0.0012113	0.697639
0.56	0.4	1.14258	0	0.0012198	0.700084
0.57	0.4	1.13474	0	0.00122824	0.702501
0.58	0.4	1.12708	0	0.00123658	0.704882
0.59	0.4	1.11963	0	0.00124481	0.707223
0.6	0.4	1.11241	0	0.0012529	0.709516
0.61	0.4	1.10541	0	0.00126082	0.711757
0.62	0.4	1.09866	0	0.00126857	0.71394
0.63	0.4	1.09216	0	0.00127612	0.716061
0.64	0.4	1.08593	0	0.00128345	0.718115
0.65	0.4	1.07995	0	0.00129055	0.720098
0.66	0.4	1.07424	0	0.0012974	0.722009
0.67	0.4	1.06881	0	0.001304	0.723843
0.68	0.4	1.06364	0	0.00131034	0.725599
0.69	0.4	1.05874	0	0.0013164	0.727276
0.7	0.4	1.05411	0	0.00132219	0.728872
0.71	0.4	1.04974	0	0.00132769	0.730387
0.72	0.4	1.04563	0	0.00133291	0.731821
0.73	0.4	1.04178	0	0.00133784	0.733174
0.74	0.4	1.03817	0	0.00134249	0.734447
0.75	0.4	1.0348	0	0.00134686	0.735641
0.76	0.4	1.03166	0	0.00135095	0.736759
0.77	0.4	1.02875	0	0.00135478	0.737801
0.78	0.4	1.02605	0	0.00135834	0.73877
0.79	0.4	1.02356	0	0.00136164	0.739668
0.8	0.4	1.02127	0	0.0013647	0.740498
0.81	0.4	1.01916	0	0.00136752	0.741262
0.82	0.4	1.01724	0	0.00137011	0.741964
0.83	0.4	1.01548	0	0.00137248	0.742606
0.84	0.4	1.01388	0	0.00137464	0.74319
0.85	0.4	1.01244	0	0.00137661	0.743721
0.86	0.4	1.01114	0	0.00137838	0.744199
0.87	0.4	1.00997	0	0.00137997	0.74463
0.88	0.4	1.00893	0	0.0013814	0.745014
0.89	0.4	1.008	0	0.00138266	0.745355
0.9	0.4	1.00719	0	0.00138377	0.745654
0.91	0.4	1.00649	0	0.00138474	0.745915
0.92	0.4	1.00589	0	0.00138557	0.746138
0.93	0.4	1.00538	0	0.00138627	0.746326
0.94	0.4	1.00496	0	0.00138684	0.746481
0.95	0.4	1.00464	0	0.0013873	0.746603
0.96	0.4	1.00439	0	0.00138763	0.746693
0.97	0.4	1.00423	0	0.00138786	0.746753
0.98	0.4	1.00415	0	0.00138797	0.746783
