Domain Length	Pressure	Density	Velocity	Temperature	Sound Speed
0	0.178571	1	1	0.0006222	0.5
0.01	0.178571	1	1	0.0006222	0.5
0.02	0.178571	1	1	0.0006222	0.5
0.03	0.178571	1	1	0.0006222	0.5
0.04	0.178571	1	1	0.0006222	0.5
0.05	0.178571	1	1	0.0006222	0.5
0.06	0.178571	1	1	0.0006222	0.5
0.07	0.178571	1	1	0.0006222	0.5
0.08	0.178571	1	1	0.0006222	0.5
0.09	0.178571	1	1	0.0006222	0.5
0.1	0.178571	1	1	0.0006222	0.5
0.11	0.178571	1	1	0.0006222	0.5
0.12	0.178571	1	1	0.0006222	0.5
0.13	0.178571	1	1	0.0006222	0.5
0.14	0.178571	1	1	0.0006222	0.5
0.15	0.178571	1	1	0.0006222	0.5
0.16	0.178571	1	1	0.0006222	0.5
0.17	0.178571	1	1	0.0006222	0.5
0.18	0.178571	1	1	0.0006222	0.5
0.19	0.178571	1	1	0.0006222	0.5
0.2	0.178571	1	1	0.0006222	0.5
0.21	0.178571	1	1	0.0006222	0.5
0.22	0.178571	1	1	0.0006222	0.5
0.23	0.178571	1	1	0.0006222	0.5
0.24	0.178571	1	1	0.0006222	0.5
0.25	0.178571	1	1	0.0006222	0.5
0.26	0.178572	1	1	0.0006222	0.5
0.27	0.178572	1	0.999999	0.0006222	0.5
0.28	0.178572	1	0.999999	0.000622201	0.5
0.29	0.178573	1	0.999998	0.000622201	0.5
0.3	0.178574	1.00001	0.999995	0.000622202	0.500001
0.31	0.178576	1.00002	0.999991	0.000622205	0.500002
0.32	0.17858	1.00004	0.999982	0.000622209	0.500004
0.33	0.17859	1.00007	0.999964	0.000622218	0.500007
0.34	0.178608	1.00015	0.999927	0.000622236	0.500015
0.35	0.178644	1.00029	0.999855	0.000622272	0.500029
0.36	0.178716	1.00058	0.99971	0.000622345	0.500058
0.37	0.178861	1.00116	0.999421	0.00062249	0.500116
0.38	0.179151	1.00231	0.998843	0.00062278	0.500233
0.39	0.179728	1.00459	0.997693	0.000623364	0.500467
0.4	0.180875	1.00911	0.995413	0.00062454	0.500939
0.41	0.183145	1.0179	0.990932	0.000626911	0.501889
0.42	0.18759	1.03474	0.982274	0.000631681	0.503795
0.43	0.196128	1.0659	0.966063	0.000641122	0.507546
0.44	0.211982	1.12082	0.937355	0.000658995	0.514572
0.45	0.239809	1.21104	0.890828	0.000689963	0.526524
0.46	0.284656	1.34636	0.824183	0.000736679	0.544056
0.47	0.34911	1.52825	0.741825	0.000795948	0.565519
0.48	0.429929	1.74425	0.654504	0.00085883	0.587433
0.49	0.517446	1.9689	0.574188	0.00091571	0.606574
0.5	0.599449	2.17357	0.508827	0.000960939	0.621374
0.51	0.66682	2.33857	0.460708	0.000993522	0.63182
0.52	0.716421	2.45853	0.427949	0.00101534	0.638719
0.53	0.750002	2.53911	0.406897	0.0010292	0.643064
0.54	0.771432	2.59028	0.393899	0.00103769	0.645713
0.55	0.784583	2.62159	0.386082	0.00104278	0.647294
0.56	0.792457	2.6403	0.381457	0.00104578	0.648224
0.57	0.797102	2.65133	0.378749	0.00104754	0.648768
0.58	0.799818	2.65777	0.377172	0.00104856	0.649084
0.59	0.801397	2.66151	0.376257	0.00104915	0.649267
0.6	0.802313	2.66369	0.375727	0.00104949	0.649373
0.61	0.802843	2.66494	0.375421	0.00104969	0.649435
0.62	0.80315	2.66567	0.375244	0.0010498	0.64947
0.63	0.803327	2.66609	0.375141	0.00104987	0.649491
0.64	0.803429	2.66633	0.375082	0.00104991	0.649502
0.65	0.803488	2.66647	0.375048	0.00104993	0.649509
0.66	0.803522	2.66655	0.375029	0.00104994	0.649513
0.67	0.803542	2.6666	0.375017	0.00104995	0.649515
0.68	0.803553	2.66662	0.375011	0.00104996	0.649517
0.69	0.80356	2.66664	0.375007	0.00104996	0.649518
0.7	0.803564	2.66665	0.375005	0.00104996	0.649518
0.71	0.803566	2.66665	0.375003	0.00104996	0.649518
0.72	0.803567	2.66666	0.375003	0.00104996	0.649518
0.73	0.803568	2.66666	0.375002	0.00104996	0.649518
0.74	0.803568	2.66666	0.375002	0.00104996	0.649518
0.75	0.803568	2.66666	0.375002	0.00104996	0.649518
0.76	0.803568	2.66666	0.375002	0.00104996	0.649519
0.77	0.803569	2.66666	0.375002	0.00104996	0.649519
0.78	0.803569	2.66666	0.375002	0.00104996	0.649519
0.79	0.803569	2.66666	0.375002	0.00104996	0.649519
0.8	0.803569	2.66666	0.375002	0.00104996	0.649519
0.81	0.803569	2.66666	0.375002	0.00104996	0.649519
0.82	0.803569	2.66666	0.375002	0.00104996	0.649519
0.83	0.803569	2.66666	0.375002	0.00104996	0.649519
0.84	0.803569	2.66666	0.375002	0.00104996	0.649519
0.85	0.803569	2.66666	0.375002	0.00104996	0.649519
0.86	0.803569	2.66666	0.375002	0.00104996	0.649519
0.87	0.803569	2.66666	0.375002	0.00104996	0.649519
0.88	0.803569	2.66666	0.375002	0.00104996	0.649519
0.89	0.803569	2.66666	0.375002	0.00104996	0.649519
0.9	0.803569	2.66666	0.375002	0.00104996	0.649519
0.91	0.803569	2.66666	0.375002	0.00104996	0.649519
0.92	0.803569	2.66666	0.375002	0.00104996	0.649519
0.93	0.803569	2.66666	0.375002	0.00104996	0.649519
0.94	0.803569	2.66666	0.375002	0.00104996	0.649519
0.95	0.803569	2.66666	0.375002	0.00104996	0.649519
0.96	0.803569	2.66666	0.375002	0.00104996	0.649519
0.97	0.803569	2.66666	0.375002	0.00104996	0.649519
0.98	0.803569	2.66666	0.375002	0.00104996	0.649519
