Domain Length	Pressure	Density	Velocity	Temperature	Sound Speed
0	0.4	1.4	0	0.00099552	0.632456	0.714286
0.01	0.4	1.4	0	0.00099552	0.632456	0.714286
0.02	0.4	1.4	0	0.00099552	0.632456	0.714286
0.03	0.4	1.4	0	0.00099552	0.632456	0.714286
0.04	0.4	1.4	0	0.00099552	0.632456	0.714286
0.05	0.4	1.4	0	0.00099552	0.632456	0.714286
0.06	0.4	1.4	0	0.00099552	0.632456	0.714286
0.07	0.4	1.4	0	0.00099552	0.632456	0.714286
0.08	0.4	1.4	0	0.00099552	0.632456	0.714286
0.09	0.4	1.4	0	0.00099552	0.632456	0.714286
0.1	0.4	1.4	0	0.00099552	0.632456	0.714286
0.11	0.4	1.4	0	0.00099552	0.632456	0.714286
0.12	0.4	1.4	0	0.00099552	0.632456	0.714286
0.13	0.4	1.4	0	0.00099552	0.632456	0.714286
0.14	0.4	1.4	0	0.00099552	0.632456	0.714286
0.15	0.4	1.4	0	0.00099552	0.632456	0.714286
0.16	0.4	1.4	0	0.00099552	0.632456	0.714286
0.17	0.4	1.4	0	0.00099552	0.632456	0.714286
0.18	0.4	1.4	0	0.00099552	0.632456	0.714286
0.19	0.4	1.4	0	0.00099552	0.632456	0.714286
0.2	0.4	1.4	0	0.00099552	0.632456	0.714286
0.21	0.4	1.4	0	0.00099552	0.632456	0.714286
0.22	0.4	1.4	0	0.00099552	0.632456	0.714286
0.23	0.4	1.4	0	0.00099552	0.632456	0.714286
0.24	0.4	1.4	0	0.00099552	0.632456	0.714286
0.25	0.4	1.4	0	0.00099552	0.632456	0.714286
0.26	0.4	1.4	0	0.00099552	0.632456	0.714286
0.27	0.4	1.4	0	0.00099552	0.632456	0.714286
0.28	0.4	1.4	0	0.00099552	0.632456	0.714286
0.29	0.4	1.4	0	0.00099552	0.632456	0.714286
0.3	0.4	1.4	0	0.00099552	0.632456	0.714286
0.31	0.4	1.4	0	0.00099552	0.632456	0.714286
0.32	0.4	1.4	0	0.00099552	0.632456	0.714286
0.33	0.4	1.4	0	0.00099552	0.632456	0.714286
0.34	0.4	1.4	0	0.00099552	0.632456	0.714286
0.35	0.4	1.4	0	0.00099552	0.632456	0.714286
0.36	0.4	1.4	0	0.00099552	0.632456	0.714286
0.37	0.4	1.4	0	0.00099552	0.632456	0.714286
0.38	0.4	1.4	0	0.00099552	0.632456	0.714286
0.39	0.4	1.4	0	0.00099552	0.632456	0.714286
0.4	0.4	1.4	0	0.00099552	0.632456	0.714286
0.41	0.4	1.4	0	0.00099552	0.632456	0.714286
0.42	0.4	1.4	0	0.00099552	0.632456	0.714286
0.43	0.4	1.4	0	0.00099552	0.632456	0.714286
0.44	0.4	1.4	0	0.00099552	0.632456	0.714286
0.45	0.4	1.4	0	0.00099552	0.632456	0.714286
0.46	0.4	1.4	0	0.00099552	0.632456	0.714286
0.47	0.4	1.4	0	0.00099552	0.632456	0.714286
0.48	0.4	1.4	0	0.00099552	0.632456	0.714286
0.49	0.4	1.4	0	0.00099552	0.632456	0.714286
0.5	0.4	1	0	0.00139373	0.748331	1
0.51	0.4	1	0	0.00139373	0.748331	1
0.52	0.4	1	0	0.00139373	0.748331	1
0.53	0.4	1	0	0.00139373	0.748331	1
0.54	0.4	1	0	0.00139373	0.748331	1
0.55	0.4	1	0	0.00139373	0.748331	1
0.56	0.4	1	0	0.00139373	0.748331	1
0.57	0.4	1	0	0.00139373	0.748331	1
0.58	0.4	1	0	0.00139373	0.748331	1
0.59	0.4	1	0	0.00139373	0.748331	1
0.6	0.4	1	0	0.00139373	0.748331	1
0.61	0.4	1	0	0.00139373	0.748331	1
0.62	0.4	1	0	0.00139373	0.748331	1
0.63	0.4	1	0	0.00139373	0.748331	1
0.64	0.4	1	0	0.00139373	0.748331	1
0.65	0.4	1	0	0.00139373	0.748331	1
0.66	0.4	1	0	0.00139373	0.748331	1
0.67	0.4	1	0	0.00139373	0.748331	1
0.68	0.4	1	0	0.00139373	0.748331	1
0.69	0.4	1	0	0.00139373	0.748331	1
0.7	0.4	1	0	0.00139373	0.748331	1
0.71	0.4	1	0	0.00139373	0.748331	1
0.72	0.4	1	0	0.00139373	0.748331	1
0.73	0.4	1	0	0.00139373	0.748331	1
0.74	0.4	1	0	0.00139373	0.748331	1
0.75	0.4	1	0	0.00139373	0.748331	1
0.76	0.4	1	0	0.00139373	0.748331	1
0.77	0.4	1	0	0.00139373	0.748331	1
0.78	0.4	1	0	0.00139373	0.748331	1
0.79	0.4	1	0	0.00139373	0.748331	1
0.8	0.4	1	0	0.00139373	0.748331	1
0.81	0.4	1	0	0.00139373	0.748331	1
0.82	0.4	1	0	0.00139373	0.748331	1
0.83	0.4	1	0	0.00139373	0.748331	1
0.84	0.4	1	0	0.00139373	0.748331	1
0.85	0.4	1	0	0.00139373	0.748331	1
0.86	0.4	1	0	0.00139373	0.748331	1
0.87	0.4	1	0	0.00139373	0.748331	1
0.88	0.4	1	0	0.00139373	0.748331	1
0.89	0.4	1	0	0.00139373	0.748331	1
0.9	0.4	1	0	0.00139373	0.748331	1
0.91	0.4	1	0	0.00139373	0.748331	1
0.92	0.4	1	0	0.00139373	0.748331	1
0.93	0.4	1	0	0.00139373	0.748331	1
0.94	0.4	1	0	0.00139373	0.748331	1
0.95	0.4	1	0	0.00139373	0.748331	1
0.96	0.4	1	0	0.00139373	0.748331	1
0.97	0.4	1	0	0.00139373	0.748331	1
0.98	0.4	1	0	0.00139373	0.748331	1
0.99	0.4	1	0	0.00139373	0.748331	1
