Domain Length	Pressure	Density	Velocity	Temperature	Sound Speed
0	0.4	1.4	0	0.00099552	0.632456
0.01	0.4	1.4	3.30254e-07	0.000995521	0.632456
0.02	0.399988	1.39989	9.67411e-06	0.000995566	0.63247
0.03	0.399992	1.39984	7.54762e-06	0.000995613	0.632485
0.04	0.39999	1.39976	9.94252e-06	0.000995667	0.632502
0.05	0.39999	1.39967	1.10684e-05	0.000995728	0.632522
0.06	0.39999	1.39957	1.30357e-05	0.0009958	0.632544
0.07	0.39999	1.39945	1.51407e-05	0.000995886	0.632572
0.08	0.399989	1.3993	1.76948e-05	0.000995991	0.632605
0.09	0.399989	1.39912	2.06563e-05	0.000996117	0.632645
0.1	0.399989	1.39891	2.41207e-05	0.00099627	0.632694
0.11	0.399988	1.39864	2.81459e-05	0.000996457	0.632753
0.12	0.399988	1.39832	3.28149e-05	0.000996683	0.632825
0.13	0.399988	1.39794	3.82133e-05	0.000996956	0.632911
0.14	0.399987	1.39748	4.44368e-05	0.000997284	0.633016
0.15	0.399987	1.39693	5.15882e-05	0.000997678	0.63314
0.16	0.399987	1.39627	5.97766e-05	0.000998147	0.633289
0.17	0.399987	1.39549	6.91161e-05	0.000998703	0.633466
0.18	0.399987	1.39457	7.97234e-05	0.000999361	0.633674
0.19	0.399987	1.3935	9.17158e-05	0.00100013	0.633919
0.2	0.399986	1.39224	0.000105208	0.00100104	0.634205
0.21	0.399986	1.39078	0.000120307	0.00100209	0.634538
0.22	0.399986	1.38909	0.000137114	0.0010033	0.634923
0.23	0.399986	1.38715	0.000155713	0.00100471	0.635367
0.24	0.399986	1.38494	0.000176173	0.00100631	0.635874
0.25	0.399986	1.38242	0.000198544	0.00100814	0.636453
0.26	0.399986	1.37958	0.00022285	0.00101022	0.637108
0.27	0.399986	1.37638	0.000249088	0.00101257	0.637848
0.28	0.399985	1.3728	0.000277227	0.00101521	0.638679
0.29	0.399985	1.36882	0.000307202	0.00101816	0.639606
0.3	0.399985	1.36442	0.000338916	0.00102144	0.640637
0.31	0.399985	1.35957	0.000372235	0.00102508	0.641778
0.32	0.399985	1.35427	0.000406988	0.0010291	0.643033
0.33	0.399984	1.3485	0.00044297	0.0010335	0.644407
0.34	0.399984	1.34225	0.000479939	0.00103831	0.645905
0.35	0.399984	1.33552	0.000517621	0.00104354	0.64753
0.36	0.399983	1.32831	0.00055571	0.0010492	0.649284
0.37	0.399983	1.32064	0.000593871	0.0010553	0.651168
0.38	0.399983	1.3125	0.000631749	0.00106184	0.653182
0.39	0.399982	1.30393	0.00066897	0.00106882	0.655326
0.4	0.399982	1.29494	0.000705145	0.00107624	0.657596
0.41	0.399982	1.28557	0.000739883	0.00108409	0.659989
0.42	0.399981	1.27584	0.000772793	0.00109235	0.6625
0.43	0.399981	1.2658	0.000803492	0.00110101	0.665121
0.44	0.39998	1.25549	0.000831612	0.00111005	0.667846
0.45	0.39998	1.24496	0.00085681	0.00111944	0.670665
0.46	0.399979	1.23425	0.000878771	0.00112915	0.673567
0.47	0.399979	1.22342	0.000897218	0.00113915	0.676542
0.48	0.399978	1.21251	0.000911915	0.00114939	0.679578
0.49	0.399978	1.20159	0.000922675	0.00115984	0.68266
0.5	0.399977	1.19069	0.000929362	0.00117045	0.685775
0.51	0.399977	1.17988	0.000931895	0.00118118	0.68891
0.52	0.399976	1.1692	0.000930251	0.00119197	0.69205
0.53	0.399976	1.15869	0.000924463	0.00120277	0.69518
0.54	0.399975	1.1484	0.000914621	0.00121355	0.698286
0.55	0.399975	1.13838	0.000900871	0.00122424	0.701354
0.56	0.399974	1.12864	0.000883409	0.00123479	0.704371
0.57	0.399973	1.11924	0.000862478	0.00124517	0.707324
0.58	0.399973	1.11019	0.000838364	0.00125532	0.710201
0.59	0.399972	1.10151	0.000811389	0.0012652	0.712992
0.6	0.399972	1.09323	0.000781902	0.00127478	0.715686
0.61	0.399971	1.08536	0.000750273	0.00128402	0.718275
0.62	0.39997	1.07792	0.000716888	0.00129289	0.720751
0.63	0.39997	1.07089	0.000682136	0.00130136	0.72311
0.64	0.399969	1.0643	0.000646406	0.00130943	0.725346
0.65	0.399968	1.05813	0.00061008	0.00131706	0.727457
0.66	0.399968	1.05239	0.000573522	0.00132424	0.729439
0.67	0.399967	1.04705	0.000537078	0.00133099	0.731294
0.68	0.399966	1.04212	0.000501067	0.00133728	0.73302
0.69	0.399966	1.03759	0.00046578	0.00134312	0.734621
0.7	0.399965	1.03343	0.000431476	0.00134853	0.736098
0.71	0.399964	1.02962	0.000398378	0.00135351	0.737455
0.72	0.399964	1.02617	0.000366676	0.00135807	0.738696
0.73	0.399963	1.02303	0.000336522	0.00136223	0.739826
0.74	0.399962	1.0202	0.000308036	0.001366	0.740851
0.75	0.399962	1.01765	0.000281304	0.00136942	0.741776
0.76	0.399961	1.01538	0.000256378	0.00137249	0.742608
0.77	0.39996	1.01334	0.000233285	0.00137524	0.743352
0.78	0.399959	1.01153	0.000212023	0.0013777	0.744015
0.79	0.399959	1.00993	0.000192568	0.00137988	0.744603
0.8	0.399958	1.00852	0.000174876	0.0013818	0.745123
0.81	0.399957	1.00729	0.000158883	0.0013835	0.74558
0.82	0.399956	1.0062	0.000144517	0.00138498	0.74598
0.83	0.399956	1.00526	0.000131689	0.00138628	0.746329
0.84	0.399955	1.00444	0.000120305	0.00138741	0.746632
0.85	0.399954	1.00374	0.000110265	0.00138838	0.746894
0.86	0.399953	1.00313	0.000101465	0.00138922	0.747119
0.87	0.399953	1.00261	9.37999e-05	0.00138993	0.747312
0.88	0.399952	1.00217	8.71631e-05	0.00139054	0.747476
0.89	0.399951	1.0018	8.14504e-05	0.00139106	0.747614
0.9	0.39995	1.00148	7.65594e-05	0.00139149	0.747731
0.91	0.39995	1.00122	7.23906e-05	0.00139185	0.747827
0.92	0.399949	1.00101	6.88473e-05	0.00139215	0.747907
0.93	0.399948	1.00083	6.58365e-05	0.00139239	0.747972
0.94	0.399948	1.00069	6.32679e-05	0.00139258	0.748023
0.95	0.399947	1.00059	6.10546e-05	0.00139273	0.748063
0.96	0.399946	1.00051	5.9114e-05	0.00139283	0.748091
0.97	0.399946	1.00046	5.73826e-05	0.0013929	0.748109
0.98	0.399945	1.00043	5.59362e-05	0.00139293	0.748118
