Domain Length	Pressure	Density	Velocity	Temperature	Sound Speed
0	0.178571	1	1	0.0006222	0.5
0.01	0.178571	1	1	0.0006222	0.5
0.02	0.178571	1	1	0.0006222	0.5
0.03	0.178571	1	1	0.0006222	0.5
0.04	0.178571	1	1	0.0006222	0.5
0.05	0.178571	1	1	0.0006222	0.5
0.06	0.178571	1	1	0.0006222	0.5
0.07	0.178571	1	1	0.0006222	0.5
0.08	0.178571	1	1	0.0006222	0.5
0.09	0.178571	1	1	0.0006222	0.5
0.1	0.178571	1	1	0.0006222	0.5
0.11	0.178571	1	1	0.0006222	0.5
0.12	0.178571	1	1	0.0006222	0.5
0.13	0.178571	1	1	0.0006222	0.5
0.14	0.178571	1	1	0.0006222	0.5
0.15	0.178571	1	1	0.0006222	0.5
0.16	0.178571	1	1	0.0006222	0.5
0.17	0.178571	1	1	0.0006222	0.5
0.18	0.178571	1	1	0.0006222	0.5
0.19	0.178571	1	1	0.0006222	0.5
0.2	0.178571	1	1	0.0006222	0.5
0.21	0.178571	1	1	0.0006222	0.5
0.22	0.178571	1	1	0.0006222	0.5
0.23	0.178571	1	1	0.0006222	0.5
0.24	0.178571	1	1	0.0006222	0.5
0.25	0.178571	1	1	0.0006222	0.5
0.26	0.178571	1	1	0.0006222	0.5
0.27	0.178571	1	1	0.0006222	0.5
0.28	0.178571	1	1	0.0006222	0.5
0.29	0.178571	1	1	0.0006222	0.5
0.3	0.178571	1	1	0.0006222	0.5
0.31	0.178572	1	1	0.0006222	0.5
0.32	0.178572	1	0.999999	0.000622201	0.5
0.33	0.178572	1	0.999999	0.000622201	0.5
0.34	0.178573	1.00001	0.999996	0.000622202	0.500001
0.35	0.178575	1.00001	0.999992	0.000622206	0.500002
0.36	0.178581	1.00003	0.99998	0.000622214	0.500005
0.37	0.178593	1.00007	0.999952	0.000622232	0.500013
0.38	0.178623	1.00017	0.999886	0.000622276	0.500031
0.39	0.178695	1.0004	0.999727	0.000622382	0.500073
0.4	0.178866	1.00095	0.99935	0.000622633	0.500174
0.41	0.179273	1.00227	0.998455	0.000623233	0.500415
0.42	0.180241	1.00537	0.996339	0.000624661	0.500988
0.43	0.182527	1.01263	0.991393	0.000628052	0.502346
0.44	0.187871	1.02924	0.980113	0.000636005	0.505517
0.45	0.200035	1.06573	0.955652	0.000654003	0.512619
0.46	0.226259	1.14055	0.907433	0.00069121	0.526999
0.47	0.277384	1.27913	0.826146	0.000755591	0.550996
0.48	0.362481	1.50212	0.71577	0.00084081	0.581238
0.49	0.476889	1.79936	0.599097	0.00092346	0.609136
0.5	0.596024	2.11147	0.502978	0.000983552	0.628642
0.51	0.69058	2.36245	0.439606	0.00101852	0.63972
0.52	0.749172	2.5196	0.40478	0.00103602	0.645192
0.53	0.779333	2.601	0.387986	0.001044	0.647672
0.54	0.7932	2.63854	0.380503	0.00104746	0.648744
0.55	0.799216	2.65485	0.377302	0.00104892	0.649196
0.56	0.801757	2.66174	0.375957	0.00104953	0.649385
0.57	0.802818	2.66462	0.375397	0.00104978	0.649464
0.58	0.803259	2.66582	0.375165	0.00104989	0.649496
0.59	0.803441	2.66631	0.375068	0.00104993	0.64951
0.6	0.803517	2.66652	0.375029	0.00104995	0.649515
0.61	0.803549	2.6666	0.375012	0.00104996	0.649518
0.62	0.803562	2.66664	0.375005	0.00104996	0.649519
0.63	0.803567	2.66665	0.375002	0.00104996	0.649519
0.64	0.80357	2.66666	0.375001	0.00104996	0.649519
0.65	0.803571	2.66666	0.375	0.00104996	0.649519
0.66	0.803571	2.66666	0.375	0.00104996	0.64952
0.67	0.803571	2.66666	0.375	0.00104996	0.64952
0.68	0.803571	2.66666	0.375	0.00104996	0.64952
0.69	0.803572	2.66666	0.375	0.00104996	0.64952
0.7	0.803572	2.66666	0.375	0.00104997	0.64952
0.71	0.803572	2.66666	0.375	0.00104997	0.64952
0.72	0.803572	2.66666	0.375	0.00104997	0.64952
0.73	0.803572	2.66666	0.375	0.00104997	0.64952
0.74	0.803572	2.66666	0.375	0.00104997	0.64952
0.75	0.803572	2.66666	0.374999	0.00104997	0.64952
0.76	0.803572	2.66666	0.374999	0.00104997	0.649521
0.77	0.803572	2.66666	0.374999	0.00104997	0.649521
0.78	0.803572	2.66665	0.374999	0.00104997	0.649521
0.79	0.803572	2.66665	0.374999	0.00104997	0.649521
0.8	0.803573	2.66665	0.374999	0.00104997	0.649521
0.81	0.803573	2.66665	0.374999	0.00104997	0.649521
0.82	0.803573	2.66665	0.374999	0.00104997	0.649522
0.83	0.803573	2.66665	0.374999	0.00104997	0.649522
0.84	0.803573	2.66665	0.374999	0.00104997	0.649522
0.85	0.803573	2.66664	0.374999	0.00104997	0.649522
0.86	0.803573	2.66664	0.374999	0.00104997	0.649523
0.87	0.803573	2.66664	0.374999	0.00104997	0.649523
0.88	0.803573	2.66664	0.374999	0.00104998	0.649523
0.89	0.803572	2.66664	0.374999	0.00104998	0.649523
0.9	0.803572	2.66663	0.374999	0.00104998	0.649524
0.91	0.803572	2.66663	0.374999	0.00104998	0.649524
0.92	0.803572	2.66663	0.374999	0.00104998	0.649524
0.93	0.803572	2.66663	0.374999	0.00104998	0.649524
0.94	0.803572	2.66662	0.374999	0.00104998	0.649525
0.95	0.803572	2.66662	0.374999	0.00104998	0.649525
0.96	0.803572	2.66662	0.374999	0.00104998	0.649525
0.97	0.803572	2.66661	0.375	0.00104998	0.649526
0.98	0.803572	2.66661	0.375	0.00104998	0.649526
