Domain Length	Pressure	Density	Velocity	Temperature	Sound Speed
0	0.178571	1	1	0.0006222	0.5
0.01	0.178571	1	1	0.0006222	0.5
0.02	0.178571	1	1	0.0006222	0.5
0.03	0.178571	1	1	0.0006222	0.5
0.04	0.178571	1	1	0.0006222	0.5
0.05	0.178571	1	1	0.0006222	0.5
0.06	0.178571	1	1	0.0006222	0.5
0.07	0.178571	1	1	0.0006222	0.5
0.08	0.178571	1	1	0.0006222	0.5
0.09	0.178571	1	1	0.0006222	0.5
0.1	0.178571	1	1	0.0006222	0.5
0.11	0.178571	1	1	0.0006222	0.5
0.12	0.178571	1	1	0.0006222	0.5
0.13	0.178571	1	1	0.0006222	0.5
0.14	0.178571	1	1	0.0006222	0.5
0.15	0.178571	1	1	0.0006222	0.5
0.16	0.178571	1	1	0.0006222	0.5
0.17	0.178571	1	1	0.0006222	0.5
0.18	0.178571	1	1	0.0006222	0.5
0.19	0.178571	1	1	0.0006222	0.5
0.2	0.178571	1	1	0.0006222	0.5
0.21	0.178571	1	1	0.0006222	0.5
0.22	0.178571	1	1	0.0006222	0.5
0.23	0.178571	1	1	0.0006222	0.5
0.24	0.178571	1	1	0.0006222	0.5
0.25	0.178571	1	1	0.0006222	0.5
0.26	0.178571	1	1	0.0006222	0.5
0.27	0.178571	1	1	0.0006222	0.5
0.28	0.178571	1	1	0.0006222	0.5
0.29	0.178571	1	1	0.0006222	0.5
0.3	0.178571	1	1	0.0006222	0.5
0.31	0.178571	1	1	0.0006222	0.5
0.32	0.178571	1	1	0.0006222	0.5
0.33	0.178571	1	1	0.0006222	0.5
0.34	0.178571	1	1	0.0006222	0.5
0.35	0.178571	1	1	0.0006222	0.5
0.36	0.178572	1	1	0.0006222	0.5
0.37	0.178571	0.999997	1	0.000622202	0.500001
0.38	0.178574	1.00001	0.999993	0.000622202	0.500001
0.39	0.178569	1.00002	1.00001	0.000622183	0.499993
0.4	0.178455	0.99983	1.00028	0.000621902	0.49988
0.41	0.177544	0.9987	1.00163	0.000619424	0.498883
0.42	0.175756	0.987818	1.0088	0.000619943	0.499092
0.43	0.176618	1.00403	0.996229	0.000612926	0.49626
0.44	0.229509	1.12555	0.873932	0.000710486	0.534297
0.45	0.503548	1.54104	0.540503	0.00113853	0.67636
0.46	-0.00448609	0.673179	1.46779	-2.32197e-05	-nan
0.47	0.105896	0.895598	1.13949	0.000411989	0.406863
0.48	0.233718	1.18575	0.882723	0.000686783	0.525309
0.49	0.386653	1.58002	0.691242	0.000852664	0.585321
0.5	0.564996	2.03338	0.520547	0.000968155	0.623703
0.51	0.718437	2.47718	0.427475	0.00101053	0.637205
0.52	0.788712	2.64845	0.380047	0.00103764	0.645695
0.53	0.809946	2.69323	0.373127	0.00104785	0.648867
0.54	0.807367	2.68361	0.374907	0.00104826	0.648992
0.55	0.804822	2.67707	0.375152	0.00104751	0.64876
0.56	0.802535	2.66686	0.374465	0.00104853	0.649076
0.57	0.801899	2.65633	0.374148	0.00105185	0.650104
0.58	0.802287	2.64892	0.37449	0.00105531	0.65117
0.59	0.803639	2.64488	0.375295	0.0010587	0.652216
0.6	0.805518	2.64593	0.376268	0.00106076	0.652849
0.61	0.807113	2.6501	0.377022	0.00106118	0.652981
0.62	0.807831	2.65468	0.37739	0.00106029	0.652707
0.63	0.807853	2.65876	0.377361	0.0010587	0.652215
0.64	0.80751	2.66224	0.377125	0.00105687	0.651651
0.65	0.806971	2.66505	0.376805	0.00105504	0.651089
0.66	0.806394	2.66706	0.376501	0.0010535	0.650611
0.67	0.805883	2.66827	0.376249	0.00105235	0.650257
0.68	0.805464	2.66906	0.376029	0.00105149	0.649992
0.69	0.805051	2.66929	0.375794	0.00105086	0.649797
0.7	0.804573	2.66868	0.375534	0.00105048	0.649678
0.71	0.803967	2.66746	0.375183	0.00105017	0.649582
0.72	0.803155	2.66556	0.374714	0.00104985	0.649486
0.73	0.802136	2.66309	0.374129	0.00104949	0.649374
0.74	0.801012	2.66042	0.373479	0.00104908	0.649245
0.75	0.799932	2.65788	0.372858	0.00104866	0.649117
0.76	0.799062	2.65586	0.372364	0.00104832	0.64901
0.77	0.798542	2.65472	0.372071	0.00104809	0.648939
0.78	0.79838	2.65435	0.372001	0.00104802	0.648918
0.79	0.798598	2.65485	0.372149	0.00104811	0.648945
0.8	0.799154	2.65623	0.372476	0.00104829	0.649002
0.81	0.799923	2.65811	0.37292	0.00104856	0.649085
0.82	0.800763	2.66012	0.373407	0.00104887	0.649181
0.83	0.801565	2.66201	0.373868	0.00104917	0.649275
0.84	0.802257	2.66363	0.374263	0.00104944	0.649357
0.85	0.8028	2.6649	0.374572	0.00104965	0.649423
0.86	0.803191	2.6658	0.374792	0.0010498	0.64947
0.87	0.803444	2.66639	0.374934	0.00104991	0.649501
0.88	0.80359	2.66672	0.375014	0.00104996	0.64952
0.89	0.803659	2.66688	0.375052	0.00104999	0.649529
0.9	0.803679	2.66692	0.375063	0.00105	0.649532
0.91	0.803674	2.66691	0.375059	0.00105	0.649531
0.92	0.803656	2.66686	0.375048	0.00105	0.649529
0.93	0.803635	2.66681	0.375036	0.00104999	0.649527
0.94	0.803616	2.66677	0.375025	0.00104998	0.649525
0.95	0.803601	2.66674	0.375017	0.00104997	0.649523
0.96	0.803591	2.66671	0.375011	0.00104997	0.649521
0.97	0.803583	2.66669	0.375007	0.00104997	0.649521
0.98	0.803579	2.66668	0.375003	0.00104997	0.64952
