Domain Length	Pressure	Density	Velocity	Temperature	Sound Speed
0	0.4	1.4	0	0.00099552	0.632456
0.01	0.4	1.4	-7.14332e-21	0.00099552	0.632456
0.02	0.4	1.4	-2.83181e-20	0.00099552	0.632456
0.03	0.4	1.4	-5.72067e-20	0.00099552	0.632456
0.04	0.4	1.4	-8.72401e-20	0.00099552	0.632456
0.05	0.4	1.4	-1.19e-19	0.00099552	0.632456
0.06	0.4	1.4	-1.53077e-19	0.00099552	0.632456
0.07	0.4	1.4	-1.90077e-19	0.00099552	0.632456
0.08	0.4	1.4	-2.30621e-19	0.00099552	0.632456
0.09	0.4	1.4	-2.75348e-19	0.00099552	0.632456
0.1	0.4	1.4	-3.2492e-19	0.00099552	0.632456
0.11	0.4	1.4	-3.80016e-19	0.00099552	0.632456
0.12	0.4	1.4	-4.41341e-19	0.00099552	0.632456
0.13	0.4	1.4	-5.09618e-19	0.00099552	0.632456
0.14	0.4	1.4	-5.85595e-19	0.00099552	0.632456
0.15	0.4	1.4	-6.70035e-19	0.00099552	0.632456
0.16	0.4	1.4	-7.63718e-19	0.00099552	0.632456
0.17	0.4	1.4	-8.6744e-19	0.00099552	0.632456
0.18	0.4	1.4	-9.82002e-19	0.00099552	0.632456
0.19	0.4	1.4	-1.10821e-18	0.00099552	0.632456
0.2	0.4	1.4	-1.24686e-18	0.00099552	0.632456
0.21	0.4	1.4	-1.39875e-18	0.00099552	0.632456
0.22	0.4	1.4	-1.56466e-18	0.00099552	0.632456
0.23	0.4	1.4	-1.74532e-18	0.00099552	0.632456
0.24	0.4	1.4	-1.94145e-18	0.00099552	0.632456
0.25	0.4	1.4	-2.15372e-18	0.00099552	0.632456
0.26	0.4	1.4	-2.38273e-18	0.00099552	0.632456
0.27	0.4	1.4	-2.62902e-18	0.00099552	0.632456
0.28	0.4	1.4	-2.89305e-18	0.00099552	0.632456
0.29	0.4	1.4	-3.17519e-18	0.00099552	0.632456
0.3	0.4	1.4	-3.47573e-18	0.00099552	0.632456
0.31	0.4	1.4	-3.79481e-18	0.00099552	0.632456
0.32	0.4	1.4	-4.13248e-18	0.00099552	0.632456
0.33	0.4	1.4	-4.48869e-18	0.00099552	0.632456
0.34	0.4	1.4	-4.86321e-18	0.00099552	0.632456
0.35	0.4	1.4	-5.25572e-18	0.00099552	0.632456
0.36	0.4	1.4	-5.6657e-18	0.00099552	0.632456
0.37	0.4	1.4	-6.09246e-18	0.00099552	0.632456
0.38	0.4	1.4	-6.53502e-18	0.00099552	0.632456
0.39	0.4	1.4	-6.99209e-18	0.00099552	0.632456
0.4	0.4	1.4	-7.46196e-18	0.00099552	0.632456
0.41	0.4	1.4	-7.94309e-18	0.00099552	0.632456
0.42	0.4	1.4	-8.43558e-18	0.00099552	0.632456
0.43	0.4	1.4	-8.9426e-18	0.00099552	0.632456
0.44	0.4	1.4	-9.46548e-18	0.00099552	0.632456
0.45	0.4	1.4	-1.00097e-17	0.00099552	0.632456
0.46	0.4	1.4	-1.0572e-17	0.00099552	0.632456
0.47	0.4	1.4	-1.15003e-17	0.00099552	0.632456
0.48	0.4	1.4	-1.20942e-17	0.00099552	0.632456
0.49	0.4	1.4	-6.0959e-18	0.00099552	0.632456
0.5	0.4	1	7.20624e-18	0.00139373	0.748331
0.51	0.4	1	1.5464e-17	0.00139373	0.748331
0.52	0.4	1	1.51983e-17	0.00139373	0.748331
0.53	0.4	1	1.38059e-17	0.00139373	0.748331
0.54	0.4	1	1.31508e-17	0.00139373	0.748331
0.55	0.4	1	1.24855e-17	0.00139373	0.748331
0.56	0.4	1	1.18613e-17	0.00139373	0.748331
0.57	0.4	1	1.1249e-17	0.00139373	0.748331
0.58	0.4	1	1.06559e-17	0.00139373	0.748331
0.59	0.4	1	1.00773e-17	0.00139373	0.748331
0.6	0.4	1	9.51075e-18	0.00139373	0.748331
0.61	0.4	1	8.95644e-18	0.00139373	0.748331
0.62	0.4	1	8.41615e-18	0.00139373	0.748331
0.63	0.4	1	7.89163e-18	0.00139373	0.748331
0.64	0.4	1	7.38422e-18	0.00139373	0.748331
0.65	0.4	1	6.89493e-18	0.00139373	0.748331
0.66	0.4	1	6.42451e-18	0.00139373	0.748331
0.67	0.4	1	5.97351e-18	0.00139373	0.748331
0.68	0.4	1	5.54235e-18	0.00139373	0.748331
0.69	0.4	1	5.13128e-18	0.00139373	0.748331
0.7	0.4	1	4.74046e-18	0.00139373	0.748331
0.71	0.4	1	4.36992e-18	0.00139373	0.748331
0.72	0.4	1	4.01959e-18	0.00139373	0.748331
0.73	0.4	1	3.6893e-18	0.00139373	0.748331
0.74	0.4	1	3.37879e-18	0.00139373	0.748331
0.75	0.4	1	3.08768e-18	0.00139373	0.748331
0.76	0.4	1	2.81555e-18	0.00139373	0.748331
0.77	0.4	1	2.5619e-18	0.00139373	0.748331
0.78	0.4	1	2.32616e-18	0.00139373	0.748331
0.79	0.4	1	2.10773e-18	0.00139373	0.748331
0.8	0.4	1	1.90595e-18	0.00139373	0.748331
0.81	0.4	1	1.72015e-18	0.00139373	0.748331
0.82	0.4	1	1.54964e-18	0.00139373	0.748331
0.83	0.4	1	1.3937e-18	0.00139373	0.748331
0.84	0.4	1	1.25164e-18	0.00139373	0.748331
0.85	0.4	1	1.12275e-18	0.00139373	0.748331
0.86	0.4	1	1.00634e-18	0.00139373	0.748331
0.87	0.4	1	9.01741e-19	0.00139373	0.748331
0.88	0.4	1	8.08322e-19	0.00139373	0.748331
0.89	0.4	1	7.25474e-19	0.00139373	0.748331
0.9	0.4	1	6.5263e-19	0.00139373	0.748331
0.91	0.4	1	5.89264e-19	0.00139373	0.748331
0.92	0.4	1	5.34902e-19	0.00139373	0.748331
0.93	0.4	1	4.89118e-19	0.00139373	0.748331
0.94	0.4	1	4.51542e-19	0.00139373	0.748331
0.95	0.4	1	4.21862e-19	0.00139373	0.748331
0.96	0.4	1	3.99826e-19	0.00139373	0.748331
0.97	0.4	1	3.85241e-19	0.00139373	0.748331
0.98	0.4	1	3.77981e-19	0.00139373	0.748331
