Domain Length	Pressure	Density	Velocity	Temperature	Sound Speed
0	0.4	1.4	0	0.00099552	0.632456
0.01	0.4	1.39988	0	0.000995606	0.632483
0.02	0.4	1.39952	0	0.000995858	0.632563
0.03	0.4	1.39904	0	0.000996204	0.632673
0.04	0.4	1.39854	0	0.000996563	0.632787
0.05	0.4	1.398	0	0.000996943	0.632907
0.06	0.4	1.39743	0	0.000997351	0.633037
0.07	0.4	1.39681	0	0.000997795	0.633178
0.08	0.4	1.39613	0	0.000998282	0.633332
0.09	0.4	1.39538	0	0.000998819	0.633503
0.1	0.4	1.39454	0	0.000999416	0.633692
0.11	0.4	1.39362	0	0.00100008	0.633902
0.12	0.4	1.39259	0	0.00100082	0.634137
0.13	0.4	1.39144	0	0.00100165	0.634398
0.14	0.4	1.39016	0	0.00100257	0.63469
0.15	0.4	1.38874	0	0.00100359	0.635014
0.16	0.4	1.38717	0	0.00100473	0.635374
0.17	0.4	1.38543	0	0.00100599	0.635773
0.18	0.4	1.3835	0	0.00100739	0.636215
0.19	0.4	1.38139	0	0.00100894	0.636703
0.2	0.4	1.37906	0	0.00101064	0.637239
0.21	0.4	1.37651	0	0.00101251	0.637828
0.22	0.4	1.37374	0	0.00101455	0.638473
0.23	0.4	1.37071	0	0.00101679	0.639176
0.24	0.4	1.36744	0	0.00101923	0.639942
0.25	0.4	1.36389	0	0.00102188	0.640772
0.26	0.4	1.36008	0	0.00102474	0.641671
0.27	0.4	1.35598	0	0.00102784	0.64264
0.28	0.4	1.35159	0	0.00103118	0.643683
0.29	0.4	1.34691	0	0.00103476	0.644801
0.3	0.4	1.34193	0	0.0010386	0.645996
0.31	0.4	1.33665	0	0.0010427	0.64727
0.32	0.4	1.33108	0	0.00104707	0.648623
0.33	0.4	1.32521	0	0.00105171	0.650058
0.34	0.4	1.31905	0	0.00105662	0.651573
0.35	0.4	1.31261	0	0.0010618	0.65317
0.36	0.4	1.30589	0	0.00106726	0.654847
0.37	0.4	1.29892	0	0.00107299	0.656603
0.38	0.4	1.29169	0	0.00107899	0.658438
0.39	0.4	1.28423	0	0.00108526	0.660347
0.4	0.4	1.27655	0	0.00109179	0.66233
0.41	0.4	1.26868	0	0.00109857	0.664382
0.42	0.4	1.26063	0	0.00110558	0.666501
0.43	0.4	1.25242	0	0.00111283	0.668681
0.44	0.4	1.24408	0	0.00112029	0.670918
0.45	0.4	1.23563	0	0.00112795	0.673208
0.46	0.4	1.2271	0	0.00113579	0.675544
0.47	0.4	1.21851	0	0.0011438	0.677921
0.48	0.4	1.20989	0	0.00115195	0.680332
0.49	0.4	1.20126	0	0.00116022	0.682771
0.5	0.4	1.19265	0	0.0011686	0.685232
0.51	0.4	1.18408	0	0.00117705	0.687706
0.52	0.4	1.17558	0	0.00118556	0.690188
0.53	0.4	1.16718	0	0.0011941	0.692669
0.54	0.4	1.15888	0	0.00120265	0.695144
0.55	0.4	1.15072	0	0.00121118	0.697604
0.56	0.4	1.14272	0	0.00121966	0.700043
0.57	0.4	1.13489	0	0.00122808	0.702454
0.58	0.4	1.12725	0	0.0012364	0.70483
0.59	0.4	1.11981	0	0.00124461	0.707166
0.6	0.4	1.1126	0	0.00125268	0.709456
0.61	0.4	1.10561	0	0.00126059	0.711693
0.62	0.4	1.09887	0	0.00126833	0.713873
0.63	0.4	1.09238	0	0.00127587	0.715991
0.64	0.4	1.08614	0	0.00128319	0.718043
0.65	0.4	1.08017	0	0.00129028	0.720025
0.66	0.4	1.07446	0	0.00129714	0.721935
0.67	0.4	1.06903	0	0.00130374	0.723769
0.68	0.4	1.06386	0	0.00131007	0.725525
0.69	0.4	1.05895	0	0.00131614	0.727203
0.7	0.4	1.05432	0	0.00132193	0.7288
0.71	0.4	1.04994	0	0.00132743	0.730317
0.72	0.4	1.04583	0	0.00133266	0.731753
0.73	0.4	1.04196	0	0.0013376	0.733108
0.74	0.4	1.03834	0	0.00134226	0.734384
0.75	0.4	1.03497	0	0.00134664	0.735582
0.76	0.4	1.03182	0	0.00135075	0.736702
0.77	0.4	1.0289	0	0.00135458	0.737747
0.78	0.4	1.02619	0	0.00135816	0.73872
0.79	0.4	1.02369	0	0.00136147	0.739621
0.8	0.4	1.02139	0	0.00136454	0.740455
0.81	0.4	1.01927	0	0.00136737	0.741222
0.82	0.4	1.01734	0	0.00136997	0.741927
0.83	0.4	1.01557	0	0.00137236	0.742572
0.84	0.4	1.01397	0	0.00137453	0.743159
0.85	0.4	1.01251	0	0.0013765	0.743693
0.86	0.4	1.0112	0	0.00137829	0.744174
0.87	0.4	1.01003	0	0.00137989	0.744607
0.88	0.4	1.00898	0	0.00138132	0.744994
0.89	0.4	1.00805	0	0.0013826	0.745337
0.9	0.4	1.00724	0	0.00138371	0.745638
0.91	0.4	1.00653	0	0.00138469	0.7459
0.92	0.4	1.00592	0	0.00138552	0.746125
0.93	0.4	1.00541	0	0.00138623	0.746315
0.94	0.4	1.00499	0	0.0013868	0.74647
0.95	0.4	1.00466	0	0.00138726	0.746593
0.96	0.4	1.00442	0	0.0013876	0.746684
0.97	0.4	1.00425	0	0.00138782	0.746745
0.98	0.4	1.00417	0	0.00138794	0.746775
