Domain Length	Pressure	Density	Velocity	Temperature	Sound Speed
0	0.178571	1	1	0.0006222	0.5
0.01	0.178571	1	1	0.0006222	0.5
0.02	0.178571	1	1	0.0006222	0.5
0.03	0.178571	1	1	0.0006222	0.5
0.04	0.178571	1	1	0.0006222	0.5
0.05	0.178571	1	1	0.0006222	0.5
0.06	0.178571	1	1	0.0006222	0.5
0.07	0.178571	1	1	0.0006222	0.5
0.08	0.178571	1	1	0.0006222	0.5
0.09	0.178571	1	1	0.0006222	0.5
0.1	0.178571	1	1	0.0006222	0.5
0.11	0.178571	1	1	0.0006222	0.5
0.12	0.178571	1	1	0.0006222	0.5
0.13	0.178571	1	1	0.0006222	0.5
0.14	0.178571	1	1	0.0006222	0.5
0.15	0.178571	1	1	0.0006222	0.5
0.16	0.178571	1	1	0.0006222	0.5
0.17	0.178571	1	1	0.0006222	0.5
0.18	0.178571	1	1	0.0006222	0.5
0.19	0.178571	1	1	0.0006222	0.5
0.2	0.178571	1	1	0.0006222	0.5
0.21	0.178571	1	1	0.0006222	0.5
0.22	0.178571	1	1	0.0006222	0.5
0.23	0.178571	1	1	0.0006222	0.5
0.24	0.178571	1	1	0.0006222	0.5
0.25	0.178572	1	1	0.0006222	0.5
0.26	0.178572	1	1	0.0006222	0.5
0.27	0.178572	1	0.999999	0.0006222	0.5
0.28	0.178572	1	0.999999	0.000622201	0.5
0.29	0.178573	1	0.999998	0.000622201	0.5
0.3	0.178574	1.00001	0.999995	0.000622203	0.500001
0.31	0.178576	1.00002	0.99999	0.000622205	0.500002
0.32	0.178581	1.00004	0.99998	0.00062221	0.500004
0.33	0.178591	1.00008	0.999961	0.00062222	0.500008
0.34	0.178611	1.00016	0.999921	0.000622239	0.500016
0.35	0.17865	1.00031	0.999843	0.000622278	0.500031
0.36	0.178729	1.00063	0.999686	0.000622357	0.500063
0.37	0.178886	1.00125	0.999372	0.000622514	0.500126
0.38	0.179199	1.0025	0.998746	0.000622829	0.500253
0.39	0.179824	1.00498	0.9975	0.000623463	0.500507
0.4	0.181066	1.00985	0.995034	0.000624737	0.501018
0.41	0.183517	1.01933	0.990202	0.000627305	0.502047
0.42	0.188295	1.03736	0.980913	0.000632452	0.504103
0.43	0.197406	1.07045	0.963684	0.000642559	0.508114
0.44	0.214118	1.12797	0.933617	0.000661418	0.515517
0.45	0.242947	1.22082	0.885856	0.000693391	0.52783
0.46	0.288455	1.3574	0.818932	0.000740437	0.545443
0.47	0.352587	1.53779	0.737745	0.000798893	0.566564
0.48	0.431913	1.74946	0.652541	0.000860221	0.587909
0.49	0.517412	1.96885	0.57422	0.000915677	0.606563
0.5	0.597859	2.16967	0.51002	0.000960117	0.621108
0.51	0.664622	2.33323	0.46221	0.000992512	0.631499
0.52	0.714378	2.45362	0.429258	0.00101447	0.638447
0.53	0.748442	2.53538	0.407856	0.00102857	0.642868
0.54	0.770369	2.58775	0.394536	0.00103728	0.645584
0.55	0.783906	2.61998	0.386481	0.00104252	0.647213
0.56	0.792044	2.63932	0.381699	0.00104562	0.648176
0.57	0.796856	2.65074	0.378892	0.00104744	0.648739
0.58	0.799673	2.65742	0.377256	0.0010485	0.649067
0.59	0.801313	2.66131	0.376306	0.00104912	0.649258
0.6	0.802264	2.66357	0.375756	0.00104947	0.649368
0.61	0.802815	2.66487	0.375437	0.00104968	0.649431
0.62	0.803133	2.66563	0.375253	0.0010498	0.649468
0.63	0.803317	2.66607	0.375147	0.00104987	0.649489
0.64	0.803423	2.66632	0.375086	0.00104991	0.649502
0.65	0.803485	2.66646	0.37505	0.00104993	0.649509
0.66	0.80352	2.66655	0.37503	0.00104994	0.649513
0.67	0.803541	2.6666	0.375018	0.00104995	0.649515
0.68	0.803553	2.66662	0.375011	0.00104996	0.649517
0.69	0.803559	2.66664	0.375007	0.00104996	0.649517
0.7	0.803563	2.66665	0.375005	0.00104996	0.649518
0.71	0.803566	2.66665	0.375003	0.00104996	0.649518
0.72	0.803567	2.66666	0.375003	0.00104996	0.649518
0.73	0.803568	2.66666	0.375002	0.00104996	0.649518
0.74	0.803568	2.66666	0.375002	0.00104996	0.649518
0.75	0.803568	2.66666	0.375002	0.00104996	0.649519
0.76	0.803569	2.66666	0.375002	0.00104996	0.649519
0.77	0.803569	2.66666	0.375002	0.00104996	0.649519
0.78	0.803569	2.66666	0.375002	0.00104996	0.649519
0.79	0.803569	2.66666	0.375002	0.00104996	0.649519
0.8	0.803569	2.66666	0.375002	0.00104996	0.649519
0.81	0.803569	2.66666	0.375002	0.00104996	0.649519
0.82	0.803569	2.66666	0.375002	0.00104996	0.649519
0.83	0.803569	2.66666	0.375002	0.00104996	0.649519
0.84	0.803569	2.66666	0.375002	0.00104996	0.649519
0.85	0.803569	2.66666	0.375002	0.00104996	0.649519
0.86	0.803569	2.66666	0.375002	0.00104996	0.649519
0.87	0.803569	2.66666	0.375002	0.00104996	0.649519
0.88	0.803569	2.66666	0.375002	0.00104996	0.649519
0.89	0.803569	2.66666	0.375002	0.00104996	0.649519
0.9	0.803569	2.66666	0.375002	0.00104996	0.649519
0.91	0.803569	2.66666	0.375002	0.00104996	0.649519
0.92	0.803569	2.66666	0.375002	0.00104996	0.649519
0.93	0.803569	2.66666	0.375002	0.00104996	0.649519
0.94	0.803569	2.66666	0.375002	0.00104996	0.649519
0.95	0.803569	2.66666	0.375002	0.00104996	0.649519
0.96	0.803569	2.66666	0.375002	0.00104996	0.649519
0.97	0.803569	2.66666	0.375002	0.00104996	0.649519
0.98	0.803569	2.66666	0.375002	0.00104996	0.649519
