Domain Length	Pressure	Density	Velocity	Temperature	Sound Speed
0	0.4	1.4	0	0.00099552	0.632456
0.01	0.4	1.39986	0	0.000995619	0.632487
0.02	0.4	1.39953	0	0.000995856	0.632562
0.03	0.4	1.39904	0	0.0009962	0.632671
0.04	0.4	1.39854	0	0.000996557	0.632785
0.05	0.4	1.39801	0	0.000996935	0.632905
0.06	0.4	1.39744	0	0.000997341	0.633034
0.07	0.4	1.39683	0	0.000997783	0.633174
0.08	0.4	1.39615	0	0.000998267	0.633327
0.09	0.4	1.3954	0	0.000998802	0.633497
0.1	0.4	1.39457	0	0.000999396	0.633686
0.11	0.4	1.39365	0	0.00100006	0.633895
0.12	0.4	1.39262	0	0.00100079	0.634129
0.13	0.4	1.39148	0	0.00100162	0.634389
0.14	0.4	1.39021	0	0.00100253	0.634679
0.15	0.4	1.38879	0	0.00100355	0.635002
0.16	0.4	1.38722	0	0.00100469	0.635361
0.17	0.4	1.38549	0	0.00100595	0.635759
0.18	0.4	1.38357	0	0.00100734	0.6362
0.19	0.4	1.38146	0	0.00100888	0.636686
0.2	0.4	1.37914	0	0.00101058	0.637221
0.21	0.4	1.3766	0	0.00101244	0.637809
0.22	0.4	1.37383	0	0.00101449	0.638452
0.23	0.4	1.37081	0	0.00101672	0.639154
0.24	0.4	1.36754	0	0.00101915	0.639918
0.25	0.4	1.364	0	0.00102179	0.640747
0.26	0.4	1.36019	0	0.00102466	0.641644
0.27	0.4	1.35609	0	0.00102775	0.642612
0.28	0.4	1.35171	0	0.00103108	0.643654
0.29	0.4	1.34703	0	0.00103467	0.64477
0.3	0.4	1.34206	0	0.0010385	0.645964
0.31	0.4	1.33678	0	0.0010426	0.647237
0.32	0.4	1.33121	0	0.00104696	0.64859
0.33	0.4	1.32535	0	0.0010516	0.650024
0.34	0.4	1.31919	0	0.0010565	0.651539
0.35	0.4	1.31275	0	0.00106169	0.653136
0.36	0.4	1.30603	0	0.00106715	0.654813
0.37	0.4	1.29905	0	0.00107288	0.65657
0.38	0.4	1.29182	0	0.00107889	0.658405
0.39	0.4	1.28435	0	0.00108516	0.660316
0.4	0.4	1.27667	0	0.00109169	0.6623
0.41	0.4	1.26879	0	0.00109847	0.664354
0.42	0.4	1.26073	0	0.0011055	0.666475
0.43	0.4	1.25251	0	0.00111275	0.668658
0.44	0.4	1.24416	0	0.00112022	0.670898
0.45	0.4	1.2357	0	0.00112789	0.673191
0.46	0.4	1.22715	0	0.00113574	0.67553
0.47	0.4	1.21855	0	0.00114376	0.67791
0.48	0.4	1.20991	0	0.00115192	0.680325
0.49	0.4	1.20127	0	0.00116021	0.682768
0.5	0.4	1.19265	0	0.0011686	0.685232
0.51	0.4	1.18407	0	0.00117707	0.687711
0.52	0.4	1.17555	0	0.00118559	0.690196
0.53	0.4	1.16713	0	0.00119415	0.692682
0.54	0.4	1.15883	0	0.00120271	0.69516
0.55	0.4	1.15066	0	0.00121125	0.697624
0.56	0.4	1.14264	0	0.00121974	0.700066
0.57	0.4	1.1348	0	0.00122817	0.702481
0.58	0.4	1.12715	0	0.00123651	0.70486
0.59	0.4	1.11971	0	0.00124473	0.707199
0.6	0.4	1.11249	0	0.00125281	0.709491
0.61	0.4	1.1055	0	0.00126073	0.71173
0.62	0.4	1.09875	0	0.00126847	0.713912
0.63	0.4	1.09225	0	0.00127601	0.716032
0.64	0.4	1.08602	0	0.00128334	0.718085
0.65	0.4	1.08004	0	0.00129044	0.720068
0.66	0.4	1.07433	0	0.00129729	0.721978
0.67	0.4	1.0689	0	0.00130389	0.723813
0.68	0.4	1.06373	0	0.00131023	0.725569
0.69	0.4	1.05883	0	0.0013163	0.727246
0.7	0.4	1.05419	0	0.00132208	0.728843
0.71	0.4	1.04982	0	0.00132759	0.730359
0.72	0.4	1.04571	0	0.00133281	0.731794
0.73	0.4	1.04185	0	0.00133775	0.733148
0.74	0.4	1.03824	0	0.0013424	0.734423
0.75	0.4	1.03486	0	0.00134678	0.735619
0.76	0.4	1.03172	0	0.00135088	0.736738
0.77	0.4	1.0288	0	0.00135471	0.737781
0.78	0.4	1.0261	0	0.00135827	0.738752
0.79	0.4	1.02361	0	0.00136158	0.739652
0.8	0.4	1.02131	0	0.00136465	0.740483
0.81	0.4	1.0192	0	0.00136747	0.741249
0.82	0.4	1.01727	0	0.00137007	0.741952
0.83	0.4	1.01551	0	0.00137244	0.742595
0.84	0.4	1.01391	0	0.00137461	0.743181
0.85	0.4	1.01246	0	0.00137658	0.743713
0.86	0.4	1.01115	0	0.00137836	0.744193
0.87	0.4	1.00998	0	0.00137996	0.744625
0.88	0.4	1.00894	0	0.00138138	0.74501
0.89	0.4	1.00801	0	0.00138265	0.745352
0.9	0.4	1.0072	0	0.00138377	0.745652
0.91	0.4	1.00649	0	0.00138474	0.745914
0.92	0.4	1.00589	0	0.00138557	0.746138
0.93	0.4	1.00538	0	0.00138627	0.746327
0.94	0.4	1.00496	0	0.00138685	0.746482
0.95	0.4	1.00463	0	0.0013873	0.746604
0.96	0.4	1.00439	0	0.00138764	0.746695
0.97	0.4	1.00423	0	0.00138786	0.746755
0.98	0.4	1.00415	0	0.00138797	0.746785
