Domain Length	Pressure	Density	Velocity	Temperature	Sound Speed
0	0.178571	1	1	0.0006222	0.5
0.01	0.178571	1	1	0.0006222	0.5
0.02	0.178571	1	1	0.0006222	0.5
0.03	0.178571	1	1	0.0006222	0.5
0.04	0.178571	1	1	0.0006222	0.5
0.05	0.178571	1	1	0.0006222	0.5
0.06	0.178571	1	1	0.0006222	0.5
0.07	0.178571	1	1	0.0006222	0.5
0.08	0.178571	1	1	0.0006222	0.5
0.09	0.178571	1	1	0.0006222	0.5
0.1	0.178571	1	1	0.0006222	0.5
0.11	0.178571	1	1	0.0006222	0.5
0.12	0.178571	1	1	0.0006222	0.5
0.13	0.178571	1	1	0.0006222	0.5
0.14	0.178571	1	1	0.0006222	0.5
0.15	0.178571	1	1	0.0006222	0.5
0.16	0.178571	1	1	0.0006222	0.5
0.17	0.178571	1	1	0.0006222	0.5
0.18	0.178571	1	1	0.0006222	0.5
0.19	0.178571	1	1	0.0006222	0.5
0.2	0.178571	1	1	0.0006222	0.5
0.21	0.178571	1	1	0.0006222	0.5
0.22	0.178571	1	1	0.0006222	0.5
0.23	0.178571	1	1	0.0006222	0.5
0.24	0.178571	1	1	0.0006222	0.5
0.25	0.178571	1	1	0.0006222	0.5
0.26	0.178572	1	1	0.0006222	0.5
0.27	0.178572	1	0.999999	0.0006222	0.5
0.28	0.178572	1	0.999999	0.000622201	0.5
0.29	0.178573	1	0.999998	0.000622201	0.5
0.3	0.178574	1.00001	0.999995	0.000622202	0.500001
0.31	0.178576	1.00002	0.999991	0.000622205	0.500002
0.32	0.17858	1.00004	0.999982	0.000622209	0.500004
0.33	0.17859	1.00007	0.999964	0.000622218	0.500007
0.34	0.178608	1.00014	0.999928	0.000622236	0.500015
0.35	0.178644	1.00029	0.999855	0.000622272	0.500029
0.36	0.178716	1.00058	0.99971	0.000622345	0.500058
0.37	0.178861	1.00116	0.999421	0.000622489	0.500116
0.38	0.17915	1.00231	0.998844	0.00062278	0.500233
0.39	0.179727	1.00459	0.997694	0.000623363	0.500467
0.4	0.180874	1.0091	0.995415	0.000624539	0.500939
0.41	0.183143	1.0179	0.990936	0.000626909	0.501888
0.42	0.187585	1.03472	0.982282	0.000631677	0.503793
0.43	0.19612	1.06587	0.966078	0.000641113	0.507542
0.44	0.211968	1.12077	0.937381	0.000658979	0.514565
0.45	0.239784	1.21096	0.890868	0.000689936	0.526513
0.46	0.284617	1.34624	0.824237	0.00073664	0.544042
0.47	0.349058	1.52811	0.741887	0.000795903	0.565503
0.48	0.429868	1.74409	0.654565	0.000858786	0.587418
0.49	0.517384	1.96875	0.574241	0.000915674	0.606562
0.5	0.599396	2.17344	0.508867	0.000960912	0.621365
0.51	0.666779	2.33846	0.460736	0.000993503	0.631814
0.52	0.716392	2.45846	0.427967	0.00101532	0.638716
0.53	0.749983	2.53907	0.406908	0.00102919	0.643062
0.54	0.77142	2.59025	0.393906	0.00103769	0.645711
0.55	0.784576	2.62157	0.386086	0.00104278	0.647293
0.56	0.792453	2.64029	0.38146	0.00104578	0.648224
0.57	0.7971	2.65132	0.37875	0.00104754	0.648768
0.58	0.799817	2.65777	0.377172	0.00104856	0.649084
0.59	0.801397	2.66151	0.376257	0.00104915	0.649267
0.6	0.802313	2.66368	0.375727	0.00104949	0.649373
0.61	0.802843	2.66494	0.375421	0.00104969	0.649435
0.62	0.80315	2.66567	0.375244	0.0010498	0.64947
0.63	0.803327	2.66609	0.375141	0.00104987	0.649491
0.64	0.803429	2.66633	0.375082	0.00104991	0.649502
0.65	0.803488	2.66647	0.375048	0.00104993	0.649509
0.66	0.803522	2.66655	0.375029	0.00104994	0.649513
0.67	0.803542	2.6666	0.375017	0.00104995	0.649515
0.68	0.803553	2.66663	0.375011	0.00104996	0.649517
0.69	0.80356	2.66664	0.375007	0.00104996	0.649518
0.7	0.803564	2.66665	0.375005	0.00104996	0.649518
0.71	0.803566	2.66666	0.375003	0.00104996	0.649518
0.72	0.803567	2.66666	0.375003	0.00104996	0.649518
0.73	0.803568	2.66666	0.375002	0.00104996	0.649518
0.74	0.803568	2.66666	0.375002	0.00104996	0.649519
0.75	0.803569	2.66666	0.375002	0.00104996	0.649519
0.76	0.803569	2.66666	0.375002	0.00104996	0.649519
0.77	0.803569	2.66666	0.375002	0.00104996	0.649519
0.78	0.803569	2.66666	0.375002	0.00104996	0.649519
0.79	0.803569	2.66666	0.375002	0.00104996	0.649519
0.8	0.803569	2.66666	0.375002	0.00104996	0.649519
0.81	0.803569	2.66666	0.375002	0.00104996	0.649519
0.82	0.803569	2.66666	0.375002	0.00104996	0.649519
0.83	0.803569	2.66666	0.375002	0.00104996	0.649519
0.84	0.803569	2.66666	0.375002	0.00104996	0.649519
0.85	0.803569	2.66666	0.375002	0.00104996	0.649519
0.86	0.803569	2.66666	0.375002	0.00104996	0.649519
0.87	0.803569	2.66666	0.375002	0.00104996	0.649519
0.88	0.803569	2.66666	0.375002	0.00104996	0.649519
0.89	0.803569	2.66666	0.375002	0.00104996	0.649519
0.9	0.803569	2.66666	0.375002	0.00104996	0.649519
0.91	0.803569	2.66666	0.375002	0.00104996	0.649519
0.92	0.803569	2.66666	0.375002	0.00104996	0.649519
0.93	0.803569	2.66666	0.375002	0.00104996	0.649519
0.94	0.803569	2.66666	0.375002	0.00104996	0.649519
0.95	0.803569	2.66666	0.375002	0.00104996	0.649519
0.96	0.803569	2.66666	0.375002	0.00104996	0.649519
0.97	0.803569	2.66666	0.375002	0.00104996	0.649519
0.98	0.803569	2.66666	0.375002	0.00104996	0.649519
