Domain Length	Pressure	Density	Velocity	Temperature	Sound Speed
0	0.4	1.4	0	0.00099552	0.632456
0.01	0.399999	1.4	2.07751e-06	0.00099552	0.632456
0.02	0.399996	1.39998	2.5703e-06	0.000995524	0.632457
0.03	0.399997	1.39997	2.54104e-06	0.000995531	0.632459
0.04	0.399997	1.39996	2.55797e-06	0.000995539	0.632461
0.05	0.399997	1.39995	2.63048e-06	0.000995549	0.632465
0.06	0.399997	1.39993	2.77279e-06	0.000995562	0.632469
0.07	0.399997	1.39991	3.00386e-06	0.00099558	0.632475
0.08	0.399997	1.39987	3.34764e-06	0.000995604	0.632482
0.09	0.399997	1.39983	3.83352e-06	0.000995635	0.632492
0.1	0.399998	1.39977	4.49699e-06	0.000995677	0.632505
0.11	0.399998	1.3997	5.38048e-06	0.000995731	0.632522
0.12	0.399998	1.3996	6.53426e-06	0.000995802	0.632545
0.13	0.399998	1.39947	8.01732e-06	0.000995894	0.632574
0.14	0.399999	1.3993	9.89826e-06	0.000996012	0.632612
0.15	0.399999	1.39909	1.2256e-05	0.000996162	0.632659
0.16	0.399999	1.39883	1.51804e-05	0.000996353	0.63272
0.17	0.4	1.39849	1.87723e-05	0.000996593	0.632796
0.18	0.4	1.39807	2.31438e-05	0.000996894	0.632892
0.19	0.400001	1.39755	2.84175e-05	0.000997267	0.63301
0.2	0.400001	1.39691	3.47255e-05	0.000997728	0.633156
0.21	0.400002	1.39612	4.22078e-05	0.000998292	0.633335
0.22	0.400003	1.39516	5.10101e-05	0.000998979	0.633553
0.23	0.400003	1.394	6.12807e-05	0.00099981	0.633817
0.24	0.400004	1.39262	7.31669e-05	0.00100081	0.634133
0.25	0.400005	1.39096	8.68104e-05	0.001002	0.63451
0.26	0.400006	1.38901	0.000102343	0.00100341	0.634957
0.27	0.400007	1.38672	0.000119879	0.00100507	0.635483
0.28	0.400008	1.38404	0.000139513	0.00100702	0.636098
0.29	0.400009	1.38094	0.00016131	0.00100928	0.636812
0.3	0.40001	1.37738	0.0001853	0.00101189	0.637635
0.31	0.400011	1.37332	0.000211475	0.00101489	0.638578
0.32	0.400012	1.36872	0.00023978	0.0010183	0.639651
0.33	0.400013	1.36354	0.000270109	0.00102217	0.640865
0.34	0.400013	1.35776	0.000302305	0.00102652	0.642228
0.35	0.400014	1.35136	0.000336153	0.00103139	0.643749
0.36	0.400014	1.3443	0.000371382	0.0010368	0.645436
0.37	0.400015	1.3366	0.000407666	0.00104278	0.647294
0.38	0.400015	1.32824	0.000444628	0.00104934	0.649327
0.39	0.400014	1.31924	0.000481841	0.0010565	0.651537
0.4	0.400014	1.30962	0.000518841	0.00106426	0.653925
0.41	0.400013	1.29941	0.000555129	0.00107262	0.656489
0.42	0.400012	1.28865	0.000590187	0.00108157	0.659224
0.43	0.400011	1.27739	0.000623487	0.0010911	0.662122
0.44	0.400009	1.26569	0.000654503	0.00110118	0.665174
0.45	0.400008	1.25362	0.000682727	0.00111178	0.668367
0.46	0.400006	1.24125	0.000707679	0.00112286	0.671688
0.47	0.400004	1.22866	0.000728924	0.00113436	0.675119
0.48	0.400002	1.21593	0.000746083	0.00114623	0.678642
0.49	0.399999	1.20314	0.000758845	0.0011584	0.682236
0.5	0.399997	1.19039	0.000766975	0.00117081	0.68588
0.51	0.399995	1.17774	0.000770323	0.00118338	0.689551
0.52	0.399993	1.16528	0.000768827	0.00119602	0.693226
0.53	0.39999	1.15308	0.000762519	0.00120867	0.696881
0.54	0.399988	1.14121	0.000751521	0.00122124	0.700494
0.55	0.399986	1.12973	0.000736041	0.00123364	0.704044
0.56	0.399985	1.11869	0.00071637	0.00124581	0.707508
0.57	0.399983	1.10813	0.000692871	0.00125767	0.710868
0.58	0.399982	1.0981	0.000665965	0.00126916	0.714106
0.59	0.399981	1.08862	0.000636127	0.00128021	0.717208
0.6	0.39998	1.07971	0.00060386	0.00129077	0.720159
0.61	0.399979	1.07139	0.000569694	0.00130079	0.722951
0.62	0.399979	1.06365	0.00053416	0.00131025	0.725575
0.63	0.399978	1.0565	0.000497784	0.00131912	0.728026
0.64	0.399978	1.04993	0.00046107	0.00132737	0.730301
0.65	0.399978	1.04392	0.000424493	0.00133501	0.732399
0.66	0.399979	1.03846	0.000388483	0.00134204	0.734323
0.67	0.399979	1.03352	0.000353427	0.00134845	0.736075
0.68	0.39998	1.02908	0.000319656	0.00135427	0.737662
0.69	0.39998	1.02511	0.000287446	0.00135952	0.739091
0.7	0.399981	1.02158	0.000257015	0.00136422	0.740368
0.71	0.399982	1.01845	0.000228526	0.00136841	0.741504
0.72	0.399982	1.0157	0.000202089	0.00137212	0.742507
0.73	0.399983	1.0133	0.000177764	0.00137538	0.743389
0.74	0.399984	1.01121	0.000155566	0.00137823	0.744159
0.75	0.399984	1.00939	0.000135472	0.0013807	0.744827
0.76	0.399985	1.00784	0.000117423	0.00138284	0.745403
0.77	0.399986	1.0065	0.000101337	0.00138467	0.745897
0.78	0.399986	1.00537	8.71063e-05	0.00138624	0.746318
0.79	0.399987	1.00441	7.46111e-05	0.00138757	0.746675
0.8	0.399987	1.0036	6.372e-05	0.00138868	0.746976
0.81	0.399987	1.00292	5.42959e-05	0.00138962	0.747228
0.82	0.399988	1.00236	4.62004e-05	0.0013904	0.747438
0.83	0.399988	1.0019	3.92967e-05	0.00139105	0.747611
0.84	0.399988	1.00152	3.34527e-05	0.00139158	0.747754
0.85	0.399988	1.0012	2.85429e-05	0.00139201	0.747871
0.86	0.399988	1.00095	2.44498e-05	0.00139237	0.747966
0.87	0.399988	1.00074	2.10654e-05	0.00139265	0.748042
0.88	0.399988	1.00058	1.82911e-05	0.00139288	0.748104
0.89	0.399988	1.00045	1.60381e-05	0.00139306	0.748153
0.9	0.399988	1.00034	1.42274e-05	0.00139321	0.748192
